# Modified data written from folder X1mg_mod on Mon, Sep 16, 2013 11:53:13 AM
#    effective Q	           I(Q)	          dI(Q)	        stdev Q
          0.3358	  1.4454496e-05	  0.00022399706	        0.01856
          0.3389	  6.5701798e-06	  0.00024775729	        0.01872
           0.342	  5.2867733e-05	  0.00025012841	        0.01888
          0.3452	 -0.00018602493	  0.00025546288	        0.01905
          0.3483	  2.2917232e-05	  0.00025581464	        0.01921
          0.3514	 -1.7611689e-05	  0.00022540539	        0.01937
          0.3545	  0.00032397507	  0.00028522665	        0.01953
          0.3576	  3.4454496e-05	  0.00027654981	        0.01969
          0.3607	  -0.0003229504	  0.00031122867	        0.01985
          0.3638	 -0.00044458666	  0.00033224888	        0.02001
          0.3669	 -0.00021030579	  0.00033817475	        0.02017
            0.37	  0.00016503292	  0.00042669281	        0.02033
           0.373	 -0.00036650435	   0.0004381913	        0.02048
          0.3761	  3.0371625e-05	  0.00042393775	        0.02064
          0.3791	 -0.00044713227	  0.00050349877	         0.0208
          0.3822	  1.1330469e-05	  0.00050449964	        0.02096
          0.3852	  0.00057931378	  0.00058947477	        0.02112
          0.3882	  -7.871903e-05	    0.000641605	        0.02127
          0.3912	 -0.00018194206	  0.00083144988	        0.02143
          0.3943	   0.0001544545	  0.00061591981	        0.02159
          0.3973	 -0.00094647042	  0.00089131179	        0.02174
