# Modified data written from folder X1mg_mod on Mon, Sep 16, 2013 11:53:13 AM
#    effective Q	           I(Q)	          dI(Q)	        stdev Q
         0.02704	     0.01092095	  0.00070692347	       0.005135
         0.03053	    0.010944207	  0.00041034744	       0.005182
         0.03403	    0.010896273	  0.00041912257	       0.005238
         0.03754	    0.010764538	  0.00035701185	       0.005302
         0.04105	    0.010321414	  0.00037269002	       0.005372
         0.04457	   0.0099525212	   0.0003359776	       0.005449
         0.04809	   0.0096382899	  0.00032651615	       0.005531
         0.05161	    0.009474108	  0.00030866424	       0.005619
         0.05513	   0.0096588188	  0.00027665103	       0.005713
         0.05865	    0.009174108	  0.00029822773	       0.005811
         0.06217	   0.0086924717	  0.00029371792	       0.005913
          0.0657	   0.0087020418	  0.00029462755	        0.00602
         0.06922	   0.0086346864	  0.00028155369	        0.00613
         0.07274	   0.0082457443	  0.00028233875	       0.006245
         0.07625	   0.0079430502	  0.00027726309	       0.006363
         0.07977	   0.0074898766	    0.000275852	       0.006484
         0.08329	   0.0073435791	   0.0002732632	       0.006608
          0.0868	   0.0068246864	  0.00029682712	       0.006735
         0.09032	   0.0065489673	   0.0002692776	       0.006865
         0.09383	   0.0064178599	  0.00024936614	       0.006997
         0.09733	    0.006087331	  0.00024435054	       0.007132
          0.1008	   0.0060583889	  0.00027604338	       0.007269
          0.1043	   0.0054467526	  0.00023409144	       0.007409
          0.1078	   0.0052452648	  0.00024852524	        0.00755
          0.1113	   0.0051247359	  0.00026321772	       0.007693
          0.1148	   0.0049468516	  0.00023521975	       0.007837
          0.1183	   0.0046526202	  0.00024228014	       0.007984
          0.1218	    0.004644207	  0.00022510642	       0.008132
          0.1253	   0.0041573805	  0.00023984389	       0.008281
          0.1288	   0.0038220418	   0.0002404745	       0.008432
          0.1323	   0.0037873805	  0.00023938132	       0.008584
          0.1358	   0.0034499756	  0.00021812285	       0.008737
          0.1392	   0.0033368516	  0.00021794731	       0.008891
