0.00100000 90.41270000
0.00104557 90.40670000
0.00109321 90.40000000
0.00114303 90.39280000
0.00119512 90.38490000
0.00124958 90.37620000
0.00130652 90.36670000
0.00136605 90.35640000
0.00142830 90.34510000
0.00149339 90.33270000
0.00156144 90.31920000
0.00163259 90.30440000
0.00170699 90.28820000
0.00178477 90.27060000
0.00186610 90.25130000
0.00195114 90.23020000
0.00204005 90.20710000
0.00213301 90.18190000
0.00223021 90.15440000
0.00233183 90.12420000
0.00243809 90.09130000
0.00254919 90.05540000
0.00266536 90.01610000
0.00278681 89.97310000
0.00291380 89.92620000
0.00304658 89.87500000
0.00318541 89.81890000
0.00333056 89.75770000
0.00348233 89.69080000
0.00364102 89.61780000
0.00380693 89.53800000
0.00398041 89.45080000
0.00416179 89.35560000
0.00435144 89.25150000
0.00454973 89.13800000
0.00475705 89.01390000
0.00497382 88.87850000
0.00520047 88.73070000
0.00543745 88.56930000
0.00568523 88.39320000
0.00594430 88.20100000
0.00621517 87.99130000
0.00649838 87.76250000
0.00679451 87.51300000
0.00710412 87.24090000
0.00742785 86.94430000
0.00776632 86.62100000
0.00812022 86.26880000
0.00849025 85.88510000
0.00887714 85.46740000
0.00928166 85.01270000
0.00970461 84.51800000
0.01014680 83.98000000
0.01060920 83.39520000
0.01109270 82.75990000
0.01159810 82.07010000
0.01212660 81.32160000
0.01267920 80.51010000
0.01325700 79.63080000
0.01386110 78.67900000
0.01449270 77.64950000
0.01515320 76.53730000
0.01584370 75.33700000
0.01656560 74.04330000
0.01732050 72.65060000
0.01810980 71.15370000
0.01893500 69.54750000
0.01979790 67.82690000
0.02070000 65.98740000
0.02164330 64.02520000
0.02262950 61.93700000
0.02366070 59.72050000
0.02473890 57.37460000
0.02586620 54.89970000
0.02704490 52.29800000
0.02827730 49.57360000
0.02956590 46.73300000
0.03091310 43.78540000
0.03232180 40.74320000
0.03379470 37.62180000
0.03533460 34.44050000
0.03694480 31.22210000
0.03862830 27.99330000
0.04038860 24.78420000
0.04222900 21.62870000
0.04415330 18.56310000
0.04616530 15.62600000
0.04826900 12.85670000
0.05046860 10.29400000
0.05276830 7.97397000
0.05517290 5.92847000
0.05768710 4.18232000
0.06031580 2.75122000
0.06306430 1.63947000
0.06593800 0.83830400
0.06894270 0.32484700
0.07208430 0.06231020
0.07536910 0.00153183
0.07880360 0.08417370
0.08239450 0.24754300
0.08614910 0.43075900
0.09007480 0.58161800
0.09417940 0.66311300
0.09847100 0.65829700
0.10295800 0.57209100
0.10765000 0.42895300
0.11255500 0.26608600
0.11768400 0.12310000
0.12304700 0.03043570
0.12865400 0.00000814
0.13451700 0.02170510
0.14064600 0.06801690
0.14705500 0.10609900
0.15375700 0.11279400
0.16076300 0.08542360
0.16808900 0.04180880
0.17574800 0.00807744
0.18375700 0.00080009
0.19213000 0.01563050
0.20088600 0.03208300
0.21004000 0.03205720
0.21961100 0.01626610
0.22961800 0.00182840
0.24008200 0.00207812
0.25102200 0.01111550
0.26246000 0.01315380
0.27442000 0.00519878
0.28692500 0.00000025
